,listing_id,museum_rating
251,55565,2.1
252,55668,2.4
253,55737,3.4
254,55959,2.3
255,55982,2.6
256,56467,1.95
257,56475,2.6
258,56525,2.65
259,56859,2.35
260,56894,3.1
261,57161,3.05
262,57166,1.75
263,57297,2.35
264,57468,2.25
265,57618,2.45
266,57754,2.55
267,57874,2.4
268,58059,3.1
269,58062,2.65
270,58101,2.55
271,58294,3.2
272,58467,2.6
273,58471,2.4
274,59014,2.0
275,59121,2.05
276,59709,1.75
277,59818,3.55
278,59855,2.4
279,60457,2.75
280,60611,3.15
281,60666,2.35
282,60673,2.35
283,60680,2.2
284,60794,2.95
285,60864,2.6
286,60948,2.4
287,61167,1.8
288,61492,1.9
289,62095,3.2
290,62264,2.85
291,62427,2.4
292,62430,2.15
293,62452,3.5
294,62461,3.5
295,62680,2.45
296,62787,3.5
297,62891,2.65
298,62903,2.25
299,62925,2.8
300,63003,2.55
301,63154,3.0
302,63299,2.4
303,63320,3.45
304,63360,2.25
305,63373,3.1
306,63546,2.8
307,63573,2.65
308,63588,2.4
309,63610,2.6
310,63657,2.6
311,63719,2.85
312,64000,2.15
313,64015,1.85
314,64107,2.8
315,64277,2.8
316,64314,3.05
317,64361,2.3
318,64365,3.0
319,64837,2.55
320,65019,2.35
321,65268,3.0
322,65556,2.6
323,65562,2.0
324,65615,2.3
325,65660,2.55
326,65813,2.9
327,65834,2.85
328,66008,2.8
329,66251,2.2
330,66275,2.15
331,66340,3.05
332,66451,2.3
333,66718,2.7
334,66741,2.8
335,66974,3.05
336,67208,2.7
337,67288,3.2
338,67299,2.6
339,67397,2.6
340,68099,3.0
341,68403,2.3
342,68765,2.8
343,68900,2.6
344,68974,1.6
345,69894,2.55
346,69921,1.8
347,70095,2.2
348,70128,2.7
349,70279,3.15
350,70381,1.9
351,70609,2.45
352,71010,3.1
353,71248,1.9
354,71366,3.2
355,71384,2.8
356,71812,2.85
357,72190,2.6
358,72265,2.6
359,74073,2.5
360,74240,2.65
361,74680,2.4
362,74860,2.65
363,75193,2.65
364,75524,3.1
365,75635,2.0
366,76761,2.9
367,77936,2.7
368,78603,2.65
369,78919,2.55
370,79067,2.7
371,79782,2.0
372,80493,2.5
373,80924,2.8
374,82550,2.55
375,82638,2.35
376,82885,2.6
377,82928,2.8
378,83243,1.95
379,83446,2.4
380,83722,2.85
381,83811,1.9
382,83847,2.65
383,84059,3.0
384,84251,2.4
385,84480,3.15
386,84659,2.7
387,84905,1.6
388,86215,2.2
389,87279,2.6
390,88329,2.05
391,89621,2.8
392,92894,2.4
393,93313,2.5
394,94035,2.05
395,94209,3.0
396,94477,1.85
397,94783,3.1
398,94833,2.9
399,95211,2.3
400,95747,2.55
401,95883,2.5
402,96471,2.85
403,99070,3.2
404,100002,3.05
405,100023,3.15
406,100184,1.8
407,100186,2.9
408,103161,2.65
409,103806,2.4
410,105469,2.625
411,105790,2.7
412,106363,2.85
413,106647,2.65
414,106906,2.85
415,107630,2.8
416,110576,2.6
417,110739,2.0
418,112304,2.8
419,112359,2.9
420,112435,2.2
421,113092,2.15
422,113265,3.0
423,114229,2.15
424,115535,2.95
425,115678,2.6
426,115748,2.0
427,116940,3.0
428,117425,2.5
429,118061,2.35
430,118680,2.5
431,121473,2.8
432,121861,2.8
433,123784,2.85
434,125053,2.05
435,125163,2.35
436,125265,2.2
437,125594,3.05
438,126443,2.9
439,126816,2.95
440,127387,2.9
441,128975,2.35
442,130439,2.9
443,131154,2.65
444,132516,2.35
445,132570,3.55
446,132695,2.55
447,133025,2.3
448,134934,2.65
449,135393,3.65
450,135465,2.6
451,135706,2.15
452,136493,2.65
453,136528,2.75
454,137121,2.55
455,137671,2.65
456,138216,3.0
457,139624,3.0
458,140053,2.9
459,140133,2.65
460,140195,3.2
461,140425,3.1
462,140973,2.8
463,141154,2.75
464,141335,2.85
465,141890,2.4
466,141984,1.8
467,142069,2.45
468,144087,2.8
469,144148,2.5
470,145064,2.65
471,145188,2.3
472,145777,3.1
473,146754,2.65
474,147586,2.85
475,148201,3.0
476,148259,2.35
477,148825,3.25
478,149287,3.1
479,149777,2.4
480,150804,2.2
481,151199,2.25
482,152071,2.85
483,152078,2.2
484,152259,2.4
485,152263,2.6
486,152520,2.5
487,153405,2.8
488,153780,2.4
489,154934,3.15
490,155296,2.65
491,157162,1.95
492,157431,3.25
493,157442,2.65
494,157673,2.6
495,158061,1.95
496,158176,2.65
497,158913,2.85
498,158955,2.8
499,159019,2.6
500,159749,2.6
501,159815,2.6
502,159913,1.95
503,160609,2.8
504,160994,2.0
505,161366,2.5
506,161394,2.55
507,161996,2.9
508,162493,2.65
509,162508,3.25
510,162565,2.3
511,163627,2.65
512,163809,2.8
513,163814,2.15
514,163836,2.85
515,164989,1.8
516,165080,2.9
517,165461,2.6
518,165573,2.6
519,165824,2.3
520,165919,1.8
521,166006,2.95
522,166172,1.8
523,166541,3.3
524,166983,2.85
525,167013,2.45
526,167017,2.8
527,167482,2.55
528,168084,2.2
529,168123,2.65
530,168546,3.05
531,169152,2.65
532,169306,2.65
533,169464,2.65
534,170084,2.75
535,170420,3.2
536,170761,2.4
537,171776,3.05
538,171811,2.3
539,172445,1.8
