,listing_id,avg_museum_rating,avg_restaurant_rating
169,32329,1.85,4.4
170,32331,2.85,3.98
171,32363,2.55,4.19
172,32965,2.3,4.18
173,32969,2.7,4.41
174,33009,2.65,4.23
175,33223,2.6,4.43
176,33810,2.95,4.21
177,34760,2.2,4.14
178,35526,2.1,4.43
179,36121,3.3,4.18
180,36133,2.65,4.31
181,36240,2.1,4.18
182,36442,3.3,4.39
183,36647,3.2,4.24
184,36703,3.3,4.18
185,36934,2.6,4.33
186,37197,2.3,4.35
187,38182,2.0,4.09
188,38638,1.8,4.2
189,38663,2.75,4.04
190,38780,3.05,3.94
191,39267,2.0,4.2
192,39282,2.55,4.32
193,39572,2.3,4.27
194,39593,2.75,4.29
195,39704,2.8,4.21
196,39755,3.0,4.01
197,40039,2.05,4.17
198,40884,3.1,4.18
199,41348,2.9,4.07
200,41386,2.9,4.22
201,41513,3.15,4.19
202,42580,2.65,4.34
203,42729,3.1,4.39
204,42882,3.55,4.19
205,43957,1.8,4.27
206,44096,3.35,4.15
207,44212,2.45,4.41
208,44221,2.6,3.75
209,44229,2.2,4.34
210,44288,2.3,4.28
211,44506,2.6,4.2
212,45393,2.6,4.37
213,45542,3.2,3.95
214,45556,2.15,4.18
215,45689,2.1,4.34
216,45910,2.05,4.17
217,45936,2.6,4.03
218,45940,2.65,4.31
219,46544,2.8,4.2
220,46723,2.8,3.87
221,46859,2.4,4.28
222,46911,2.85,4.35
223,47199,2.1,4.04
224,47362,2.6,3.99
225,47370,2.15,4.26
226,48719,1.85,4.14
227,49715,2.8,4.02
228,50174,2.6,4.43
229,50447,2.9,4.12
230,51438,1.85,4.01
231,51485,2.65,4.05
232,51533,2.3,4.41
233,51850,2.1,3.56
234,51852,2.1,3.56
235,53137,2.65,4.13
236,53196,1.9,3.94
237,53469,2.85,4.16
238,53470,2.05,4.38
239,53477,2.85,4.17
240,54158,2.65,4.32
241,54453,2.7,4.18
242,54466,3.1,4.19
243,54508,2.85,4.37
244,54544,2.4,3.93
245,54626,3.35,4.06
246,54694,2.1,3.56
247,54860,3.2,4.12
248,55236,2.7,4.39
249,55320,2.65,4.21
250,55467,2.95,4.34
251,55565,2.1,4.08
252,55668,2.4,4.18
253,55737,3.4,4.1
254,55959,2.3,4.37
255,55982,2.6,4.24
256,56467,1.95,4.47
257,56475,2.6,4.31
258,56525,2.65,4.53
259,56859,2.35,4.08
260,56894,3.1,4.31
261,57161,3.05,4.18
262,57166,1.75,4.25
263,57297,2.35,4.09
264,57468,2.25,4.47
265,57618,2.45,4.32
266,57754,2.55,4.07
267,57874,2.4,4.01
268,58059,3.1,4.08
269,58062,2.65,4.07
270,58101,2.55,4.33
271,58294,3.2,4.51
272,58467,2.6,3.97
273,58471,2.4,4.17
274,59014,2.0,4.2
275,59121,2.05,4.39
276,59709,1.75,3.98
277,59818,3.55,4.18
278,59855,2.4,4.25
279,60457,2.75,3.99
280,60611,3.15,4.07
281,60666,2.35,3.95
282,60673,2.35,4.16
283,60680,2.2,4.31
284,60794,2.95,4.26
285,60864,2.6,4.21
286,60948,2.4,3.99
287,61167,1.8,4.37
288,61492,1.9,4.53
289,62095,3.2,3.9
290,62264,2.85,4.3
291,62427,2.4,4.37
292,62430,2.15,3.94
293,62452,3.5,4.05
294,62461,3.5,4.05
295,62680,2.45,4.28
296,62787,3.5,4.05
297,62891,2.65,4.44
298,62903,2.25,4.26
299,62925,2.8,4.24
300,63003,2.55,4.32
301,63154,3.0,4.31
302,63299,2.4,4.29
303,63320,3.45,4.05
304,63360,2.25,4.11
305,63373,3.1,4.34
306,63546,2.8,4.15
307,63573,2.65,4.16
308,63588,2.4,4.1
309,63610,2.6,3.98
310,63657,2.6,4.01
311,63719,2.85,4.27
312,64000,2.15,4.54
313,64015,1.85,4.21
314,64107,2.8,4.06
315,64277,2.8,4.28
316,64314,3.05,4.27
317,64361,2.3,4.28
318,64365,3.0,4.33
319,64837,2.55,4.33
320,65019,2.35,4.19
321,65268,3.0,4.27
322,65556,2.6,4.28
323,65562,2.0,4.26
324,65615,2.3,4.39
325,65660,2.55,4.18
326,65813,2.9,4.29
327,65834,2.85,4.23
328,66008,2.8,4.29
329,66251,2.2,4.26
330,66275,2.15,4.3
331,66340,3.05,4.06
332,66451,2.3,4.49
333,66718,2.7,3.86
334,66741,2.8,4.18
335,66974,3.05,4.22
336,67208,2.7,4.17
337,67288,3.2,4.04
338,67299,2.6,4.4
339,67397,2.6,4.1
